,description,Product Description,ASIN,Manufacturer
141,[],,,
142,"[' Material: Softback pack with Polyester finish; Color : Black. Volume: 55 litres,(l x w x h) 30cm x 16cm x 44cm Unisex backpack for men and women   ', ' Compartment: Interior Key Chain Holder, Interior Compartment, Computer Interlayer, Interior Zipper Pocket, Interior Slot Pocket, side pocket for water bottle, Cell Phone Pocket, large main pocket. Multi-layer pocket and storage space, with 3 in 1 convertible office backpack, single arm shoulder strap and side handle bag   ', ' 180* opening, water proof compartment and large capacity space to add your personal belonging for long go. Easy expandable up to 5 cm space.; Back pouch for anti-theft zipper pocket. Multi-function designs fits for 15.6-inch laptop up to 17-inch laptop. Thick back Air mesh cushion supports your spinal during excess weight.   ', ' High quality water proof fabric work as best water resistance protecting your gadgets and more. Anti-theft function protects your laptop and other electronic devices. External USB charging with earphone hole. Use in daily life from office to gym to travelling.; Water Resistance Level: Waterproof; Age Range Description: Adult   ', ' Pattern Name: Solid   ']","Red LemonPremium Quality , Affordable RatesPrevious pageRED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.Travel Backpack Duffle Bag· Multi-functional Storage 3 in 1 Duffle Bag· High Capacity with Separate Shoe Compartment· Premium MaterialLaptop BackpackVisit the StoreLaptop BackpackVisit the StoreRed Lemon Sling BagsVisit the StoreMacbook HardcasesVisit the StoreRed Lemon T1 Stylus Pen• UPGRADED NIB & ULTRA-HIGH PRECISION• PALM REJECTION - improved accuracy• TILT FUNCTION & MAGNETIC ADSORPTIONMessenger BagsVisit the StoreLaptop SleevesVisit the StoreLaptop & Phone StandsVisit the StoreTravel OrganizersVisit the StoreMouse Pad/ Mouse PouchVisit the StoreNext pageCasual Waterproof Laptop BagThis backpack is perfect for your next trip or even everyday life. With its roomy laptop compartment and two additional compartments, it’s sure to be the most convenient way to carry all of your daily essentials. The spacious main compartment can fit up to a 17 inch laptop, while the two outer pockets give you separate space for books, files and other small items. And with a durable water-resistant fabric and heavy zippers, it’s built to stand up to regular use in any situation.Thickened and wide handleTop hand strap can use it as a handbag or carry on when use as suitcase.Adjustable chest buckle with emergency whistle (SOS)Adjustable chest buckle, make backpack more close to body when walk and make travel easier, decompression. Moreover, When in danger like earthquake or shipwreck outdoors or travel, etc., blow the emergency whistle for SOS.High quality adjust side buckleAdjustable buckle reduced stress on the zippers. So if travel with a partially packed bag, you can preventing the contents from sloshing aroundRead moreAnti-theft Design CardholderHigh quality water proof fabric work as best water resistance protecting your gadgets and more. Anti-theft function protects your laptop and other electronic devices. External USB charging with earphone hole. Use in daily life from office to gym to travelling. Interior Key Chain Holder, Interior Compartment, Computer Interlayer, Interior Zipper Pocket, Interior Slot Pocket, side pocket for water bottle, Cell Phone Pocket, large main pocket. Multi-layer pocket and storage space, with 3 in 1 convertible office backpack, single arm shoulder strap and side handle bag.2 Variants With and Without BottleInterior Key Chain Holder, Interior Compartment, Computer Interlayer, Interior Zipper Pocket, Interior Slot Pocket, side pocket for water bottle, Cell Phone Pocket, large main pocket. Multi-layer pocket and storage space, with 3 in 1 convertible office backpack, single arm shoulder strap and side handle bag.Spacious Compartments Laptop BackpackOur light weight & spacious compartments laptop backpack is crafted with a strong polyester fabric, heavy zippers and high density foam padding for your laptop & books. It has three compartments tailored for storing your laptop, files, books and extra stuff. You can carry it comfortably on your shoulder.Scan Smart Feature180* opening, water proof compartment and large capacity space to add your personal belonging for long go. Easy expandable up to 5 cm space.; Back pouch for anti-theft zipper pocket. Multi-function designs fits for 15.6-inch laptop up to 17-inch laptop. Thick back Air mesh cushion supports your spinal during excess weight.",,‎TSpark
143,"[' Suitcase-style, full-wrap zipper opening on the main compartment. Subdivided zippered mesh compartment on the left side.  ', ' Padded laptop compartment, compatible with 15.6” laptop.  ']","An All-Rounder....Amigo!Lets go with your best travel buddy... Amigo !Multiple carry styles, padded back for sweat free travels, hideaway waist harness, ultra smart compartments to keep everything organized and give you easy access when you need them, anti-theft zippers, high security reflective straps and loops for carabiners, super lightweight construction and premium weatherproofed fabric makes it your best friend to hit the road and take on any adventure life throws at you. AMIGO is that perfect all-rounder you have always wanted !Read moreTop Opening Laptop Compartment for extra securityPerfectly Organized CompartmentsChest Lock and Slip-Through Trolley Handle PanelPack for an adventureRead more",B08X2FD3T8,"BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901"
144,[],,,
145,[],,,
146,"[' Multi-Compartment Organizer: The men laptop briefcase includes external 2 pouches & 2 pen slots and inside several slots in front large pocket with Velcro closure under flap over, storage pen holders, documents, binder, power cords, mouse; 1 main zipper Pocket with foam padded sleeve fits most 15 15. 6 inch Laptop notebooks MacBook Ultrabook Chromebook; back invisible zipper pocket for your valuables  ', ' Durable Material: This computer laptop bag is made of high quality water resistant durable synthetic Leather with smooth metal zipper and durable metal hook of strap;Stylish and functional,this is a nice gift idea for Mothers day ,Fathers day from daughter son  ', "" Easy Carrying: Men's laptop messenger bag comes with a flat pass-through strap along the back, which allows the men briefcase bag to securely slip over the handle of any rolling luggage for hands-free transport; ?Daily Usage?The briefcase is water resistant and antitheft.Office bag with metal hooks and metal double zippers keep long lasting for men/women.Great for business/school/gym/travel.  "", ' Comfort & Convenience: Dual sturdy wrapped bale handles for comfortable use, detachable adjustable PU padding shoulder strap inside the bag can easily convert your computer briefcase bag to a single-shoulder bag which bring you convenience in different occasion; Inner Material Type: Nylon  ', ' Department Name: Unisex-Adult; Age Range Description: Adult; Occasion Type: Casual  ']",,,
147,"[' Lavie Malnov tote is a stylish offering for ladies. It is durable, light weight and super spacious. Made from vegan leather, this large hand bag comes in Herringbone, Woven and Croco texture pattern at the front.  ', ' Woven Texture- 45 cm in length x 12 cm in width x 35 cm in height  ', ' Malnov hand bag has a top zip closure for safety and comfort. The interior has 2 slip pockets along with 1 zip pocket providing plenty of storage space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer and a pair of clothes.  ', ' This latest tote is perfect for women to carry for a weekend getaway or even a day at the mall for shopping. It can be paired with formal pants & blazer as well as with a basic crop top and jeans. This spacious and sturdy bag makes for a perfect gift for all your occasions.  ', ' The bag has a well stitched inner lining and high quality zippers for easy accessibility and storage.  ']",,,
148,[],,,
149,[],,,
150,[],,,
151,[],,,
152,"[' ?LOTS OF STORAGE SPACE&POCKETS? One separate laptop compartment hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. One spacious packing compartment roomy for daily necessities tech electronics accessories. Front compartment with many pockets, pen pockets and key fob hook, make your items organized and easier to find   ', ' ?MULTIPURPOSE BACKPACK Polyester Fabric Material & Practical luggage Strap design & Comfortable Widen Padded Shoulder Strap & Built-in Key Ring design, fits for daily use at school, college, business and travel, suitable for women, men and students.   ', ' ?LARGE CAPACITY? External dimensions: 18.5 x 13 x 9 inch. Multiple divider pockets, easy for holding 15.6 Inches laptop, water bottle, readers and a bunch of other items, iPad, journal, pens and pencils, iPhone.   ', ' Pocket Description: Utility Pocket; Special Features: Back Padding; Compartment Description: Up To 15 Inches; Style Name: Casual; Age Range Description: Adult; Closure Type: Zipper;    ', ' Pattern Name: Solid   ']","Heroz Harbour Unisex Laptop backpackElevate your style with the backpack from the house of Heroz Harbour. It has a vibrant and stylish design, along with the added benefit of spacious interiors. Made from polyester and nylon, this backpack features a blue colour along with the brand name in front. It also has multiple compartments with zippers, two side pockets and a top loop.Read moreComes with Adjustable Shoulder StrapsThe backpack has padded adjustable shoulder straps that provide carrying comfort. The back panel is also finely padded for ease when you are carrying the backpack. This provides ease of carrying the bag when you are on the move.Read moreCompartment DescriptionThe backpack features two main compartments with zipper closure for storing your belongings and laptop. It also comes with a side pocket to store your water bottle and beverage. The backpack has a maximum storage capacity of 28 liters which is ample enough for your daily stuff.Read more",,‎A. H. Creation
153,"[' LARGE CAPACITY: Delta Laptop Backpack for Travel, Business and Work with Lots of Space & Pockets --- Separate laptop compartment that can accommodate laptops up to 15.6 inches, and large main space with store books, wallets, clothes and other daily necessities. Multifunctional pockets in the main compartment can hold pens, cards, keys, etc. to keep your belongings in order. The external front zipper and two side pockets are also good choices for water bottle or umbrella.  ', ' DAILY TRAVEL SUPPLIES: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Dimension(L*W*D): 44*32*16 cm  ', ' ERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ', ' MULTI-LEVEL ORGANIZER: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.  ', ' MADE IN INDIA: TABELITO DELTA Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks.The Tabelito Delta casual backpack comes with 6 month of warranty  ']","GREAT GIFT CHOICEABOUT TABELITOAtTABELITOInternal:16.7. x 10x 3.9 inch / 42 x 25.5 x 9.9cm (L x W x H);External:17 x 11 x 4.1 inch / 43x 26 x 11 cm (L x W x H);DELTA 15.6 INCH LAPTOP BACKPACKWHY TABELITO DELTA LAPTOP BACKPACK?1 x Roomy Main Compartment. Keep daily stuff like clothes, folder, books, magazines, power bank, camera cd’s, headset etc.1 x Front Side Pocket with zipper. Keep books, magazines, notepad, notebooks, wallet, Ipad etc.1 x Front Pocket with zipper. Keep Phone, pencil, pen, wallet, purse, keys, cards, and some other small items.1 x Laptop Compartment. Fit upto 15.6 inch laptop.2 x Side Pocket. Keep for water bottle, cups, tumbler, umbrella etc.Handle: Sturdy handle and adjustable shoulder strapsGifts for him, Gifts for her, Anniversary gifts, Boyfriend gifts, Gifts for boyfriend, Gifts for husband, mens giftsThe great graduation gifts for college students, high school students, and middle school studentsRead more6 MONTH REPLACEMENT SUPPORT6 MONTH REPLACEMENT SUPPORTINTERNAL EXTERNAL DIMENSIONDelta Laptop Backpack for Travel, Business and Work with Lot of Space & Pockets. The Backpack has a padded laptop compartment that can fit upto 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Product Dimension(L*W*D): 44*32*16 cm.Internal:16.7. x 10 x 3.9 inch / 42 x 25.5 x 9.9cm (L x W x H);External:17 x 11 x 4.1 inch / 43 x 26 x 11 cm (L x W x H);SCRATCH AND WATER RESISTANTMade of lightweight durable water resistant and scratch proof polyester material.This fabric ensures resistance to water entering from any direction.The strong lightweight weave has a smooth surface that makes it easy to slide daily supplies in and out of the bag.It has a soft lining which protects more delicate items from scratches.ACCESSORIES ORGANIZERThe Delta Laptop Backpack has a easy access accessories organizer which can accommodate daily essentials such as:Phone, TabletCharger, Power BankWallet, Headphones, Sunglass, Lunch BoxBooks, Pen, Pencil, Notebook, Diary6 MONTH REPLACEMENT SUPPORTINTERNAL EXTERNAL DIMENSIONSCRATCH AND WATER RESISTANTACCESSORIES ORGANIZERTabelito Casual Laptop Bag 15.6 inch Office College School Bags Business Travel Work Backpack for Men Women Bags Capacity 25 LTROrganize Your Digital LifeThis travel laptop backpack has main compartment pockets. One separate laptop compartment holds 15.6 Inch Laptop as well as 15 Inch, 14 Inch and 13 Inch Mac book or Laptop. The other one packing compartment is roomy for daily necessities and tech electronics accessories. Front compartment with zipper pockets and pen pockets; . Make your items organized and easier to find. Perfect for travel or storage, the padded laptop sleeve is simply designed so your laptop or tablet can be easily accessed.Providing you an easier lifestyle with Our TABELITO Laptop BagThis high-end laptop bag is designed for a professional worker who is constantly on the go. A person who aspires to live their goals has a hunger for the best, a desire to achieve something that has never been seen before. These persons will stop at nothing to achieve their goals. We created and produced this one-of-a-kind and outstanding item specifically to meet the needs of such a person.",,‎‎Tabelito Trade India
154,[],,,
155,"[' Care Instructions: Wipe with Damp Cloth  ', ' Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers  ', ' Right sized with sturdy stitching; Dimension: (28.6 cm x 17 cm x 46.1 cm)  ']",,B0BC48NDJP,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
156,[],,,
157,[],,,
158,[],,,
159,[],,,
160,[],,,
161,[],,,
162,[],,,
163,[],,,
164,[' WATERPROOF  '],,B09YM6JNRW,"Bluecraft Hyderabad Telangana 8008355628, Bluecraft Hyderabad Telangana 8008355628"
165,"[' Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant. Capacity: 36 liters, Dimensions: 48 x 33 x 23 cm Warranty: 12 months  ', ' 3 Spacious compartment: Store your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Laptop Sleeve: Ensure that your laptop is stored separately and Securely! Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. 2 side pocket: For holding water bottle, clipping pens or pencil or storing other items. 1 Front Pocket: Easily accessible. To keep all your essentials such as wallet, ticket, cosmetics.  ', "" Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!  "", ' Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.  ', "" Stylish & Cute: This bag is designed for those Millennials and GenZ, who aren't afraid to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.  ""]",,B097JHQH13,"Safari, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059"
166,[],,,
167,[],,,
168,[],,,
169,[],,,
170,[],,,
171,[],,,
172,"[' Outer Material : Nylon Twill, Color: Pink.  ', ' The backpack is LIGHT WEIGHT yet strong enough to hold your school supplies. The superior quality NYLON TWILL material lends a beautiful shine and soft feel to the backpack.  ', ' Dimensions (LxBxH): 12x8x17 inches, Capacity: 27 Litres, Weight: 440 grams, Water Resistant, Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase.  ', ' Number of Compartments: 3 Spacious compartment to keep your essentials like textbooks, stationary, lunchbox etc. It can accommodate upto 12-14 notebook/textbook. One Side Pocket: The backpack provides 1 exterior full fabric side pocket for holding water bottle, clipping pens or pencil or storing other items. Multi Level Organizer: Reduce clutter and organize your school essentials with the multi-level organizer.  ', ' Ergonomic Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.  ', ' EASY GRAB PADDED HANDLE for added comfort and convenience to hold the bag.  ', ' 3 Main Compartment, 1 External Pocket, 2 Side Stash Pockets, Back Padded Mesh  ']",,,
173,[],,,
174,"[' Generous overall size of 15 x 10 x 19 inches (LxBxH); 4 Compartments , including a padded laptop compartment ideal for carrying laptops up to 14 inches  ', ' It is sample in look but is very comfortable and it of high quality || ALL MATERIAL USED ARE MADE IN INDIA || Can be used as a laptop bag , school bag , casual backpack , college bag , backpack ,etc  ', ' Stylish & High Grade Quality Fabric; Ideal For Students, Professionals, Travelers And Daily Commuters And Also Best To Carry In Business Meetings Light Weight Bag.  ', ' Comfortable & Light Weight With Adjustable Shoulder Straps || Mesh pockets on one sides to accommodate your water bottles. || Number of compartments: 6  ', ' Care Instructions: Hand Wash Only || Material : Polyester || Color: Navy-Blue || Pattern :Printed || Style : Regular || Type : Backpacks || Gender : Unisex  ']",,B0BLP28FW7,AFCO BAGS
175,"[' Care Instructions: Wipe with Damp Cloth  ', ' Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product. Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers   ', ' Trolley sleeve to securely place the bags on the luggage; Padded laptop compartment fits up to 15”, Back padding with Air mesh; Right sized with sturdy stitching; Dimension: (30 cm x 14.5 cm x 46cm); Warranty: 750 days international warranty   ', ' GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)   ', ' Uniquely-designed, magnetic quick-access pocket located on the shoulder strap for you to easily carry important small items and not have to worry about zippers.   ', ' Age Range Description: Adult; Material Type: Polyester; Lining Description: Polyester; Pattern Name: Solid   ']",,B0B8NX7SXR,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
176,"[' Genuine Leather  ', ' Number of Main Compartments: 3,Laptop Size Fit- Upto 14""  ', ' Shoulder Strap Drop Length- 63 cm, Handle drop length -10 cm  ', ' Interior details: 1 back zip pocket, 1 Slip pocket, 1 Laptop Sleeve, 1 Tablet sleeve.  ', ' Exterior details: 1 Tap closure front open Pocket & 1 back side zip pocket, Trolley Hook Panel at back side.  ']","Read moreBorn in India. Made for the World. Handcrafted, since 1988.Through chic and functional modern designs,eskéWe design for the minds in motion. We design for stories of grit and glory. We design for you.Our StoryeskéA legacy of three decades as craftsmen, market leaders, and manufacturers has allowed us to gain domain expertise and steadfast quality standards. Made for the modern consumer's discerning lifestyle, with a seamless blend of functionality and aesthetic, we're excited to embrace the world.Read moreThe Courage of a SaplingIn our atelier, everything is iconic, everything is beautiful, inspired by the courage of a sapling.Adorning you wherever you go, towards sunshine or abundance, over steep walls or through deep gorges, we are with you as you grow. Adorning you wherever you go, with gritty grit and might, one milestone at a time, now and forever.AlleskéRead moreFlawlessly Made. Durable. Lightweight. Travel-Friendly.EveryeskéRead more",B09W791CKP,
177,"[' Care Instructions: Wipe with Damp Cloth  ', ' CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Light Brown, Water resistant: Yes  ', ' MOST FEATURE RICH BACKPACK: Front bucket pocket: Retractable key holder, Card holder, Slip pockets, Zippered pocket, Flat opening tech compartment: 5 pockets to store all your tech accessories, Padded laptop compartment with lock strap, Fits up to a 16” laptop  ', ' INDUSTRY BEST FUNCTIONAL BACKPACK: 2 Hidden bottle/umbrella pocket, Hidden magnetic passport pocket, 10 thoughtfully designed pockets, Luggage sleeve, Silicon grab handle, Padded shoulder straps, Easy length adjustment buckles  ', ' MAXED OUT STORAGE: Dimension: 48 x 31 x 16 cm, Capacity: 24L  ', ' MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)  ']","Our Most Functional backpack EverThe Mokobara Transit Backpack is designed for everyday use and for those short 1-2 day trips. With its minimalistic facia and the 180° clamshell opening, this is definitely another kick- a** backpack from Mokobara. Be it the hidden water bottle/umbrella compartment or the retractable key holder, accessibility has been tremendously evolved. This one is our most functional backpack ever.Front Bucket PocketCan easily hold up to 2 days change of clothes, along with your other travel essentials.2 x Expandable bottle/umbrella pocketsExpandable side pockets that zips open to fit a water bottle or umbrella.Secret pocketBody blended magnetic pocket for passport, boarding pass, and cellphone.Luggage sleeveThe built-in luggage sleeve secures to any Mokobara suitcase for a smooth ride.Water ResistantHigh-quality water-resistant polyester fabric body.Read moreThe Transit Backpack - Our most functional backpack everPremium BuildCrafted with durable, water-resistant materials and premium zippers.Internal Organisation SystemFront compartment houses a retractable key holder, cardholder, pen pockets, slip pockets and a zipper pocket.Tech CompartmentSeparate tech compartment with 5 pockets at the back to hold your laptop, ipad, books and chargers securely.Easy AccessPadded laptop compartment that fits upto 16 inches of laptop with a strap lock & a 180 ° flat opening for easy access.Bottle/Umbrella PocketsHas two hidden water bottle/umbrella compartments. Can fit up-to 1L water bottle easily.Made For ComfortHas a silicon grab handle & nicely padded shoulder straps for extra comfort. Straps features easy length adjustment buckles.Hidden PocketBody blended magnetic pocket for passport, boarding pass and cellphoneDesigned For Modern TravelLuggage sleeve secures to any Mokobara suitcase for a smooth ride.",B09V7R98XC,"Designed By Mokobara Lifestyle Private Limited, Bangalore., Designed By Mokobara"
178,[],,,
179,"[' Canvas Messenger Bag provide style and comfort in short trip with super quality. Dimension: 30Lx13Wx26H CM Color: Dark Green Material: Canvas Cotton; Travel Crossbody Bag Closure Type: Zipper Closure Canvas Bag Strap Type: Crossbody Sling Bag  ', ' Canvas Messenger Bag with 5 Compartment: 2 Main zipper compartment, 1 rear side zipper pocket,2 front pocket, and 2 side pockets. More convenient and easier to organize your stuff.  ', ' Spacious Interior for Weekend Travel Bag: Canvas Sling Bag Pockets: Main compartment with plenty of room for clothes, toiletries, and portable electronic devices. Side Pockets for water bottles and  ', ' Messenger Bag with Multiple Compartment : We have made changes in quality as per the review we received in addition we also provide 6 Months Warranty on products quality.; Occasion Type: Casual  ', ' Age Range Description: Adult  ']",,,
180,[],,,
181,[],,,
182,[],,,
183,"[' One zippered compartment suitable for keys/napkins/wallet/mobile etc.  ', ' One inside pocket with two small sleeves for credit card/passport etc. This fanny pack is suitable for only 250ml bottle.  ', ' This fanny pack is water resistant.  ', ' Premium YKK Japanese Zippers& sliders with an adjustable waist strap.  ', ' Comes with The F Gear promise of quality and durability.  ']",,,
184,[],,,
185,[],,,
186,"[' Padded laptop compartment fits up to 14 inch laptop, Front Access pocket & Back padding with Air mesh  ']",,B0B5N9TY9C,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
187,"[' PU coated Water resistance Light weight Durable Fabric. Dimensions: 17.5x12.5x7.5 inches; Fits up to 15.6 inches laptop.  ', ' One Laptop compartment, One Main compartment for Cloths and all documents can easily keep 3 days clothes for traveling. Roomy enough for your need.  ', ' 26L capacity : Weight: 950 gm Dimension: 17.5x12.5x7.5 inches  ', ' Age Range Description: Adult; Color Name: Navy Blue; Compartment Description: Up To 15 Inches; Material Type: Polyester; Lining Description: Polyurethane; Style Name: Travel Backpacks; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket; Closure Type: Zipper; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid  ', ' ']","Read moreRead moreKey HighlightsPads that breatheCosmus bags provides a strong and comfortably padded  shoulder straps makes the bag feel lighter & more breathable. While  giving comfortable support to your back and shoulder.How big? A l...ot more than you thinkCosmus bags understands your needs, that’s why we have 2 Large  Compartments + 2 Easy access front Pocket with organizer section & 2  mesh side pocketBig or small, we have space for all your needsThe Cosmus Bags deeply looks into all your needs , outer  mesh pockets for water bottle , umbrella etc . A bag pack for all men  & women.Read moreKey HighlightsStrong from Inside Tough from outsideCosmus  crafts bag inspired from you, hence the bags are  made with premium quality providing you maximum strength. Without  compromising on your comfort, while the inner Fabric has strong PU  coating for durability and to keep it light weighted inside.When protection is priorityThe Cosmus bags have kept the safety a head always, so Well cushioned laptop compartment for up to 15.6 inch laptop.Long & Strong StrapThe Cosmus  bags uses premium quality material and special  engineered Straps, that are adjustable in nature for optimum comfort.Read moreCosmus BagsAgility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel BagCosmus bases on the cutting-edge of fashion trends, pursuing  the best  quality of bag category and devoting to providing the best  product and  service to customers. We make every effort to achieve the  best in every  detail of design, color, material, sewing, sales and  service. Over the  years we earned customer trust and this entrust us to  provide high  quality bags.Backpack style Comfortable back strap system, easy and convenient to load on your back.Shoulder bag style One back pocket for hiding the back  straps, A removable Shoulder strap been included, when you use it as a  shoulder bag.Messenger bag style One back pocket for hiding the back straps when you use it as a messenger bag.Other FeatureDimension: 18x12x9 [HxWxD] in inchesCapacity: 26LCountry of Origin: INDIA. Made In India.Read more",B07D1QHR6H,"Cosmus, 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844"
188,[],,,
189,[],,,
190,[],,,
191,[],,,
192,[],,,
193,[],,,
194,[],,,
195,[],,,
196,"[' Care Instructions: Wipe with Damp Cloth  ', ' Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.  ', ' Handcrafted with care and made up of premium quality robust material  ', ' Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side  ', ' Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket  ', ' GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty  ']",,B0BR1D4SL1,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
197,"[' Care Instructions: Wipe with Damp Cloth  ', ' Handcrafted with care and made up of premium quality recycled material  ', ' Trolley sleeve to securely place the bags on the trolley bag; Quilted and Foam Padded Design  ', ' Spacious Main compartment with a wet pouch for toiletries inside  ', ' Separate Padded laptop compartment fits up to 15 inch Laptop; comfortable padded shoulder strap;\xa0Back padding with Air mesh  ', ' GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)  ']",,B0BNVXG27V,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
198,"[' 28 Litres, with 2 Spacious compartment and 2 pockets, practical design to deliver efficiency for the professional on the go.  ', ' 15 inch laptop compatible. Separate your office space and your personal space with separate compartments. This helps the Office Executive make the quick weekend trip, all with one backpack.  ', ' Easy Access pockets for your convenience to keep last minute things while travelling  ', ' Elaborate Organiser pocket, Chest Strap Lock & Anti-Theft Feature, ideal for the Urban Commuter.  ', ' Thoughtful reflector straps adds to your safety during evening & night times, by increasing the visibility of the bag  ']",Read moreAccelerator Black Laptop BackpackANTI-THEFT ZIPPERSWATER RESISTANT LIGHTWEIGHT FABRICRIDE READY BACKPACKS,B01M6WLGH0,"BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901"
